year,cityid,g_private,reform,reformyear
2004,1,0.0553155,0,2015
2005,1,0.0702152,0,2015
2006,1,0.0494501,0,2015
2007,1,0.0272788,0,2015
2008,1,0.1469519,0,2015
2009,1,0.0697267,0,2015
2010,1,0.0769395,0,2015
2011,1,0.0403774,0,2015
2012,1,0.061846,0,2015
2013,1,0.0683937,0,2015
2014,1,0.2603744,0,2015
2015,1,0.0553155,1,2015
2016,1,0.0553155,1,2015
2017,1,0.0553155,1,2015
2018,1,-0.2630836,1,2015
2004,2,0.0514137,0,2015
2005,2,0.0490925,0,2015
2006,2,0.083631,0,2015
2007,2,0.0809687,0,2015
2008,2,0.0881529,0,2015
2009,2,0.2099953,0,2015
2010,2,-0.0713491,0,2015
2011,2,-0.0901355,0,2015
2012,2,0.2140854,0,2015
2013,2,-0.0665586,0,2015
2014,2,0.0316036,0,2015
2015,2,0.4197973,1,2015
2016,2,0.0312794,1,2015
2017,2,-0.2630836,1,2015
2018,2,0.0023123,1,2015
2004,3,0.04806,0,2015
2005,3,-0.2630836,0,2015
2006,3,0.0914756,0,2015
2007,3,0.1071254,0,2015
2008,3,0.0613624,0,2015
2009,3,0.0672003,0,2015
2010,3,0.0748546,0,2015
2011,3,0.0717567,0,2015
2012,3,0.0700623,0,2015
2013,3,0.121231,0,2015
2014,3,0.0659906,0,2015
2015,3,0.0346922,1,2015
2016,3,0.0500553,1,2015
2017,3,0.0720567,1,2015
2018,3,0.04806,1,2015
2004,4,0.0734729,0,2015
2005,4,-0.088173,0,2015
2006,4,0.0417886,0,2015
2007,4,0.0818275,0,2015
2008,4,-0.072925,0,2015
2009,4,0.054111,0,2015
2010,4,-0.0005499,0,2015
2011,4,0.0346465,0,2015
2012,4,0.0829239,0,2015
2013,4,0.0999602,0,2015
2014,4,0.029005,0,2015
2015,4,0.0657605,1,2015
2016,4,0.3030614,1,2015
2017,4,-0.0362809,1,2015
2018,4,0.4334646,1,2015
2004,5,0.0906405,0,2012
2005,5,0.0999514,0,2012
2006,5,0.1261554,0,2012
2007,5,0.0826761,0,2012
2008,5,0.0454195,0,2012
2009,5,0.0749679,0,2012
2010,5,0.0940365,0,2012
2011,5,0.0468948,0,2012
2012,5,0.0245157,1,2012
2013,5,0.0906405,1,2012
2014,5,0.0906405,1,2012
2015,5,0.0906405,1,2012
2016,5,0.1291685,1,2012
2017,5,0.0906405,1,2012
2018,5,0.182619,1,2012
2004,6,0.0437749,0,2014
2005,6,0.062549,0,2014
2006,6,0.0198871,0,2014
2007,6,0.0187205,0,2014
2008,6,0.0205986,0,2014
2009,6,0.0368808,0,2014
2010,6,0.0697085,0,2014
2011,6,0.0652431,0,2014
